"","id","true value","MSM U included","MSM U excluded","SF method","BSA: time varying","BSA: time fixed"
"135",135,-10.2762737120615,-10.0825294383772,-11.6896497505261,-10.5978009830523,-9.67346455636342,-10.6703277987647
"136",136,-10.2727599524021,-9.96556124772913,-10.951142193868,-10.2417542454838,-8.97496658894087,-10.1226374383022
"137",137,-10.2641387310011,-10.1762008172648,-11.5966443039423,-10.5342987613454,-10.9051899813513,-10.7570040106663
"138",138,-10.2750237844126,-9.9456622515316,-10.659947636986,-9.74850994154665,-8.91969865142333,-9.79684797632771
"139",139,-10.2776353716895,-9.77210658312712,-10.8894192282151,-10.049590178457,-8.93882139148948,-9.91132023429264
"140",140,-10.2805432130493,-10.0383713416355,-11.0059230152989,-10.283430864042,-10.5746786208373,-10.695041553662
"141",141,-10.279668565373,-10.273566198161,-11.6498586941307,-10.741341597665,-8.68160406814639,-9.2174591896921
"142",142,-10.2647495952129,-10.0660221139972,-11.5388233941749,-10.7287252720012,-10.0412238496618,-10.546667078913
"143",143,-10.2656712304935,-9.99211905083958,-11.1066711688949,-10.3115124858883,-9.59923184542755,-10.1098368698185
"144",144,-10.2729650206824,-11.192274885102,-12.1155364972362,-11.3857703494088,-10.4690980732325,-11.2035663626101
"145",145,-10.2900169747289,-9.35056345156655,-10.824329877359,-10.0691858895843,-8.35037402715574,-9.88272965972778
"146",146,-10.2635185855149,-9.97393664807688,-10.5390900264015,-9.79650591855195,-9.32552662815468,-9.91106536395737
"147",147,-10.2667627014149,-9.38640587903254,-10.9016969329507,-10.1930394025618,-9.05148028500607,-9.56494814946972
"148",148,-10.2696783783036,-10.6581900691388,-11.6067873741457,-10.4664826306981,-9.24995597561245,-10.7244870035356
"149",149,-10.2559895989498,-10.9223847444926,-11.6471730715993,-10.530376332147,-10.9265129963143,-11.488646303008
"150",150,-10.2741420892829,-8.98741994472498,-10.5989548692575,-9.53333738055331,-9.98750435232256,-10.6427181899007
"151",151,-10.2685638631504,-11.734671006551,-12.3804252356017,-11.1597113099097,-9.87394495452311,-11.2149627506944
