"","True Value","MSM with U","MSM without U","SF (MSM)","SF (BMSM)","SF (MSM, h=2)","SF (BMSM, h=2)","BSA time varying","BSA constant"
"92",-10.2755016813927,-10.7312331349677,-11.4220950762642,-10.4256633994694,-10.4174133280014,-10.4016589297197,-10.3577580005358,-10.5318578388874,-10.8017111223265
"93",-10.2628635280773,-10.8941367136216,-11.7280604173998,-10.7395236932779,-10.7442174888751,-10.7720134755149,-10.7542818335638,-9.44457695127374,-10.6275097052591
"94",-10.2686475980719,-10.5958400193746,-11.5942979913862,-10.135656231847,-10.1567291058316,-10.1904297058973,-10.1724052291749,-10.7120044246032,-10.2411099960878
"95",-10.2658229006124,-9.95065914843008,-10.9670332098435,-10.0559164593686,-10.0587766556274,-10.1283081392231,-10.1405405381226,-9.95539167083096,-10.3603824929203
"96",-10.272772594212,-10.8832105195486,-11.5166054605507,-10.3713855964712,-10.3589788716417,-10.3646988203379,-10.3133455281325,-9.19585508049889,-10.6896171175898
"97",-10.2703486848209,-7.81081424034953,-12.1138940398516,-10.662352006633,-10.7230493672803,-10.6450794783825,-10.7144873327576,-11.1513306905029,-11.9778442340543
"98",-10.2652193802817,-9.57790469404584,-10.9360049834829,-9.75480698455349,-9.76272787091308,-9.80050782687717,-9.82078243696165,-9.60154540741318,-10.3742739372073
"99",-10.2597352077017,-10.2975671054443,-10.8888479594062,-9.88096267852935,-9.88783421487695,-9.91326577070682,-9.88226281245664,-9.16366510338091,-9.81949318009823
"100",-10.2698777712895,-10.8964399502637,-11.9084150030961,-10.6477870599002,-10.7106884551439,-10.6707898110389,-10.7020924610272,-9.38908671398259,-10.9591571160993
"101",-10.2667082198772,-10.8735119525192,-12.0147382696253,-10.6294297244701,-10.6059534596501,-10.5900041242517,-10.5913168853248,-9.7350112340186,-10.8862278672599
"102",-10.2634889722419,-10.7045910115841,-11.4169062625298,-10.3324036199146,-10.3283099496824,-10.4018448176577,-10.4089386196925,-9.62802208513444,-10.0794525596314
